first_name|last_name|middle_name|prefix|suffix|sex|dob|ssn|race|ethnicity|marital_status|deceased|deceased_date|multiple_birth|preferred_language|address1|address2|city|state|zipcode|district|country|is_physical|is_postal|use|start_date|email|home_phone|mobile_phone|work_phone
SHERI|PATCHY|DEBORAH|||M|1918-07-03|597-43-5470|2028-9|2135-2|S|false||false|es|748 CHERYL MOUNTAINS SUITE 104||HOUSTON|TX|77088|||true|true|HOME|2018-02-13|SHERI.ROBERTS420@EXAMPLE.COM|4507665410|4506383493|6420672888
HEIDI|DELGADO|SHANNON|||M|1989-10-29|209-20-9274|2076-8|2135-2|S|false||false|en|922 TAMMY PARKS|SUITE 869|HOUSTON|TX|77075|||true|true|HOME|2018-02-13|HEIDI.DELGADO405@EXAMPLE.COM|5601605153|3415466823|6704219339
CINDY|SMITH|MARGARET|||M|1955-04-22|759-76-2608|2076-8|2186-5|D|true|1969-02-21|false|en|325 GARNER LAKES SUITE 581||SEATTLE|WA|98115|||true|true|HOME|2018-02-13|CINDY.SMITH470@EXAMPLE.COM|8457206024|1057461617|9326381185
ALEXANDRIA|WINTERS|WENDY|||M|1942-09-21||2054-5|2186-5|M|false||false|en|41168 JACOB JUNCTION APT. 909||HUNTINGTON|WV|25701|||true|true|HOME|2018-02-13|ALEXANDRIA.WINTERS583@EXAMPLE.COM|6133714212|9950712944|6998241478
ANNE|CRAWFORD|LISA||III|F|1966-06-28|494-99-0017|ASKU|2186-5|S|false||false|en|518 MILLER TURNPIKE SUITE 352||STILLWATER|OK|74075|||true|true|HOME|2018-02-13|ANNE.CRAWFORD941@EXAMPLE.COM|4370727160|5355156478|9217748676
KARA|THOMPSON|KIMBERLY|||M|1973-04-08|711-71-8368|2054-5|2135-2|D|false||false|en|40862 LOVE WAY APT. 947||MOLINE|IL|61265|||true|true|HOME|2018-02-13|KARA.THOMPSON876@EXAMPLE.COM|4055850615|6812743913|5294051112
KATIE|COMPTON|ASHLEY||I|M|1955-10-31|097-94-1947|UNK|2186-5|S|false||false|en|384 JAMES DIVIDE SUITE 867||WHEATON|IL|60187|||true|true|HOME|2018-02-13|KATIE.COMPTON435@EXAMPLE.COM|3872684997|3068671540|1294722964
SARAH|MURPHY|BRIANA|||M|1956-07-10|731-85-2097|2054-5|2186-5|M|false||false|en|9205 MOORE WELLS SUITE 244||TUCSON|AZ|85712|||true|true|HOME|2018-02-13|SARAH.MURPHY838@EXAMPLE.COM|2254571540|4706384211|8925357810
SHERYL|KING|STEPHANIE|||F|1989-03-30|203-28-9706|ASKU|2186-5|S|false||false|en|672 ALEXANDRA STRAVENUE||WEST JORDAN|UT|84084|||true|true|HOME|2018-02-13|SHERYL.KING315@EXAMPLE.COM|3128551865|8850474247|9260333773
MAKAYLA|SMITH|SHERRY|||F|1949-11-02|603-74-1301|2054-5|2135-2|M|false||false|en|73100 MILLER PARK APT. 157||ROCKVILLE CENTRE|NY|11570|||true|true|HOME|2018-02-13|MAKAYLA.SMITH707@EXAMPLE.COM|3265047320|4496233136|4656062524
MARY|WALKER|ELIZABETH|||M|1996-09-07|004-62-2975|2076-8|2186-5|D|false||false|es|109 JAMES KEYS|SUITE 612|YUMA|AZ|85364|||true|true|HOME|2018-02-13|MARY.WALKER813@EXAMPLE.COM|4947571326|6181637514|6107679719
JUDY|THOMPSON|JANICE|||M|1993-01-19|578-38-9156|2028-9|2186-5|D|false||false|en|64739 SUAREZ TRACK|APT. 388|FALLBROOK|CA|92028|||true|true|HOME|2018-02-13|JUDY.THOMPSON227@EXAMPLE.COM|3365823981|4532832026|2076349457
CRYSTAL|MAY|SUSAN|||F|1969-10-18|120-21-9664|ASKU|2135-2|M|false||false|en|7111 SCOTT PATH|APT. 988|MCKINNEY|TX|75070|||true|true|HOME|2018-02-13|CRYSTAL.MAY608@EXAMPLE.COM|7771813165|3443521908|6255149406
